id	title	description	availability	condition	price	link	image_link	quantity_to_sell_on_facebook	brand	isv	net_price
A74148	"Mochila con rodos avengers shield"	"Mochila con rodos avengers shield"	"in stock"	new	1140.00	https://acosa.com.hn/product/mochila-c-rodos-avengers-shield	https://acosa.com.hn/wp-content/uploads/2024/01/A74148.webp	74	Disney	1.15	991.3
A74149	"Mochila avengers shield"	"Mochila avengers shield"	"in stock"	new	760.00	https://acosa.com.hn/product/mochila-avengers-shield	https://acosa.com.hn/wp-content/uploads/2024/01/A74149.webp	63	Disney	1.15	660.87
A74150	"Lonchera avengers shield"	"Lonchera avengers shield"	"in stock"	new	489.00	https://acosa.com.hn/product/lonchera-avengers-shield	https://acosa.com.hn/wp-content/uploads/2024/01/A74150.webp	50	Disney	1.15	425.22
A74151	"Lapicero triang avengers assemble"	"Lapicero triang avengers assemble"	"in stock"	new	229.00	https://acosa.com.hn/product/lapicero-triang-avengers-assemble	https://acosa.com.hn/wp-content/uploads/2024/01/A74151.webp	104	Disney	1.15	199.13
A74152	"Mochila avengers assemble surtido"	"Mochila avengers assemble surtido"	"in stock"	new	977.99	https://acosa.com.hn/product/mochila-avengers-assemble-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74152.webp	26	Disney	1.15	850.43
A74153	"Lonchera avengers assemble"	"Lonchera avengers assemble"	"in stock"	new	451.00	https://acosa.com.hn/product/lonchera-avengers-assemble-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74153.webp	31	Disney	1.15	392.17
A74154	"Lapicero spiderman spider face spider verse"	"Lapicero spiderman spider face spider verse"	"in stock"	new	226.00	https://acosa.com.hn/product/lapicero-spiderman-spider-face-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74154.webp	14	Disney	1.15	196.52
A74155	"Mochila spiderman spider face spider verse"	"Mochila spiderman spider face spider verse"	"in stock"	new	1203.00	https://acosa.com.hn/product/mochila-spiderman-spider-face-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74155.webp	35	Disney	1.15	1046.09
A74156	"Lapicero triang spider-verse"	"Lapicero triang spider-verse"	"in stock"	new	226.00	https://acosa.com.hn/product/lapicero-triang-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74156.webp	47	Disney	1.15	196.52
A74157	"Mochila spider-verse"	"Mochila spider-verse"	"in stock"	new	950.00	https://acosa.com.hn/product/mochila-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74157.webp	74	Disney	1.15	826.09
A74158	"Lonchera spider-verse"	"Lonchera spider-verse"	"in stock"	new	532.00	https://acosa.com.hn/product/lonchera-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74158.webp	80	Disney	1.15	462.61
A74159	"Lapicero spiderman holographic spider verse"	"Lapicero spiderman holographic spider verse"	"in stock"	new	226.00	https://acosa.com.hn/product/lapicero-spiderman-holographic-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74159.webp	1	Disney	1.15	196.52
A74160	"Mochila spiderman holographic spider verse"	"Mochila spiderman holographic spider verse"	"in stock"	new	1203.00	https://acosa.com.hn/product/mochila-spiderman-holographic-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74160.webp	45	Disney	1.15	1046.09
A74161	"Mochila spiderman + cartuchera surtido"	"Mochila spiderman + cartuchera surtido"	"in stock"	new	752.00	https://acosa.com.hn/product/mochila-spiderman-cartuchera	https://acosa.com.hn/wp-content/uploads/2024/01/A74161.webp	39	Disney	1.15	653.91
A74162	"Mochila spiderman brooklyn spider-verse"	"Mochila spiderman brooklyn spider-verse"	"in stock"	new	950.00	https://acosa.com.hn/product/mochila-spiderman-brooklyn-spider-verse	https://acosa.com.hn/wp-content/uploads/2024/01/A74162.webp	67	Disney	1.15	826.09
A74140	"Mochila spiderman great power"	"Mochila spiderman great power"	"in stock"	new	977.99	https://acosa.com.hn/product/mochila-c-rodos-spiderman-great-power	https://acosa.com.hn/wp-content/uploads/2024/01/A74140.webp	29	Disney	1.15	850.43
A74141	"Mochila avengers armored"	"Mochila avengers armored"	"in stock"	new	828.00	https://acosa.com.hn/product/mochila-avengers-armored	https://acosa.com.hn/wp-content/uploads/2024/01/A74141.webp	42	Disney	1.15	720
A74184	"Lonchera spiderman great power"	"Lonchera spiderman great power"	"in stock"	new	489.00	https://acosa.com.hn/product/lonchera-spiderman-great-power	https://acosa.com.hn/wp-content/uploads/2024/01/A74184.webp	29	Disney	1.15	425.22
A74111	"Lonchera my little pony"	"Lonchera my little pony"	"in stock"	new	493.01	https://acosa.com.hn/product/lonchera-my-little-pony-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74111.webp	54	Disney	1.15	428.7
A74132	"Mochila c/rodos transformers"	"Mochila c/rodos transformers"	"in stock"	new	1216.00	https://acosa.com.hn/product/mochila-c-rodos-transformers-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74132.webp	80	Disney	1.15	1057.39
A74133	"Lonchera transformers"	"Lonchera transformers"	"in stock"	new	489.00	https://acosa.com.hn/product/lonchera-transformers-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74133.webp	55	Disney	1.15	425.22
A74134	"Lonchera spidey and friends"	"Lonchera spidey and friends"	"in stock"	new	489.00	https://acosa.com.hn/product/lonchera-spidey-and-friends	https://acosa.com.hn/wp-content/uploads/2024/01/A74134.webp	43	Disney	1.15	425.22
A74135	"Mochila spidey"	"Mochila spidey"	"in stock"	new	790.00	https://acosa.com.hn/product/mochila-spidey	https://acosa.com.hn/wp-content/uploads/2024/01/A74135.webp	49	Disney	1.15	686.96
A74136	"Lonchera spidey"	"Lonchera spidey"	"in stock"	new	456.00	https://acosa.com.hn/product/lonchera-spidey	https://acosa.com.hn/wp-content/uploads/2024/01/a74136-1.webp	90	Disney	1.15	396.52
A74137	"Lonchera spiderman"	"Lonchera spiderman"	"in stock"	new	489.00	https://acosa.com.hn/product/lonchera-spiderman-7	https://acosa.com.hn/wp-content/uploads/2024/01/A74137.webp	8	Disney	1.15	425.22
A74138	"Mochila spiderman wall-crawler"	"Mochila spiderman wall-crawler"	"in stock"	new	602.00	https://acosa.com.hn/product/mochila-spiderman-wall-crawler	https://acosa.com.hn/wp-content/uploads/2024/01/A74138.webp	54	Disney	1.15	523.48
A74139	"Lapicero spiderman great power"	"Lapicero spiderman great power"	"in stock"	new	226.00	https://acosa.com.hn/product/lapicero-spiderman-great-power	https://acosa.com.hn/wp-content/uploads/2024/01/A74139.webp	100	Disney	1.15	196.52
A74180	"Mochila spidey and friends"	"Mochila spidey and friends"	"in stock"	new	828.00	https://acosa.com.hn/product/mochila-spidey-and-friends	https://acosa.com.hn/wp-content/uploads/2024/01/A74180.webp	38	Disney	1.15	720
A74181	"Mochila c/ rodos spidey"	"Mochila c/ rodos spidey"	"in stock"	new	1140.00	https://acosa.com.hn/product/mochila-c-rodos-spidey	https://acosa.com.hn/wp-content/uploads/2024/01/A74181.webp	9	Disney	1.15	991.3
A74182	"Mochila c/rodos spiderman great power"	"Mochila c/rodos spiderman great power"	"in stock"	new	1203.00	https://acosa.com.hn/product/mochila-c-rodos-spiderman-great-power-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74182.webp	4	Disney	1.15	1046.09
